"date","botfam","industry","hosts","orgs"
2016-06-01,"Bedep","Education",88,33
2016-06-01,"Bedep","Finance",387,17
2016-06-01,"Bedep","Government/Politics",430,42
2016-06-01,"Bedep","Healthcare/Wellness",42,19
2016-06-01,"Bedep","Manufacturing",184,18
2016-06-01,"Bedep","Retail",684,11
2016-06-01,"ConfickerAB","Education",372,93
2016-06-01,"ConfickerAB","Finance",198,56
2016-06-01,"ConfickerAB","Government/Politics",255,38
2016-06-01,"ConfickerAB","Healthcare/Wellness",224,109
2016-06-01,"ConfickerAB","Manufacturing",978,83
2016-06-01,"ConfickerAB","Retail",664,47
2016-06-01,"Necurs","Education",141,58
2016-06-01,"Necurs","Finance",45,34
2016-06-01,"Necurs","Government/Politics",277,25
2016-06-01,"Necurs","Healthcare/Wellness",14,14
2016-06-01,"Necurs","Manufacturing",344,34
2016-06-01,"Necurs","Retail",112,12
2016-06-01,"Olmasco","Education",7,3
2016-06-01,"Olmasco","Manufacturing",7,3
2016-06-01,"Olmasco","Retail",20,2
2016-06-01,"PushDo","Education",2,1
2016-06-01,"PushDo","Finance",18,1
2016-06-01,"PushDo","Government/Politics",8,2
2016-06-01,"PushDo","Manufacturing",487,9
2016-06-01,"PushDo","Retail",356,2
2016-06-01,"Ramnit","Education",38,13
2016-06-01,"Ramnit","Finance",17,9
2016-06-01,"Ramnit","Government/Politics",53,6
2016-06-01,"Ramnit","Healthcare/Wellness",2,2
2016-06-01,"Ramnit","Manufacturing",12,8
2016-06-01,"Ramnit","Retail",174,6
2016-06-01,"Sality","Education",118,43
2016-06-01,"Sality","Finance",146,21
2016-06-01,"Sality","Government/Politics",144,15
2016-06-01,"Sality","Healthcare/Wellness",8,5
2016-06-01,"Sality","Manufacturing",310,22
2016-06-01,"Sality","Retail",161,9
2016-06-01,"zeroaccess","Education",34,17
2016-06-01,"zeroaccess","Finance",14,6
2016-06-01,"zeroaccess","Government/Politics",13,5
2016-06-01,"zeroaccess","Healthcare/Wellness",10,6
2016-06-01,"zeroaccess","Manufacturing",25,5
2016-06-01,"zeroaccess","Retail",233,5
2016-06-01,"Zeus","Education",61,31
2016-06-01,"Zeus","Finance",17,16
2016-06-01,"Zeus","Government/Politics",14,5
2016-06-01,"Zeus","Healthcare/Wellness",7,6
2016-06-01,"Zeus","Manufacturing",34,11
2016-06-01,"Zeus","Retail",42,6
2016-06-01,"Zusy","Education",44,15
2016-06-01,"Zusy","Finance",26,3
2016-06-01,"Zusy","Government/Politics",5,3
2016-06-01,"Zusy","Healthcare/Wellness",9,2
2016-06-01,"Zusy","Manufacturing",55,5
2016-06-01,"Zusy","Retail",431,4
2016-06-02,"Bedep","Education",62,34
2016-06-02,"Bedep","Finance",345,25
2016-06-02,"Bedep","Government/Politics",453,42
2016-06-02,"Bedep","Healthcare/Wellness",65,14
2016-06-02,"Bedep","Manufacturing",104,22
2016-06-02,"Bedep","Retail",759,15
2016-06-02,"ConfickerAB","Education",795,111
2016-06-02,"ConfickerAB","Finance",321,67
2016-06-02,"ConfickerAB","Government/Politics",431,45
2016-06-02,"ConfickerAB","Healthcare/Wellness",365,122
2016-06-02,"ConfickerAB","Manufacturing",2031,106
2016-06-02,"ConfickerAB","Retail",1690,57
2016-06-02,"Necurs","Education",134,63
2016-06-02,"Necurs","Finance",49,38
2016-06-02,"Necurs","Government/Politics",223,17
2016-06-02,"Necurs","Healthcare/Wellness",18,17
2016-06-02,"Necurs","Manufacturing",359,32
2016-06-02,"Necurs","Retail",123,13
2016-06-02,"Olmasco","Education",6,3
2016-06-02,"Olmasco","Healthcare/Wellness",2,1
2016-06-02,"Olmasco","Manufacturing",4,3
2016-06-02,"Olmasco","Retail",34,2
2016-06-02,"PushDo","Finance",17,2
2016-06-02,"PushDo","Government/Politics",1,1
2016-06-02,"PushDo","Manufacturing",577,8
2016-06-02,"PushDo","Retail",242,2
2016-06-02,"Ramnit","Education",33,13
2016-06-02,"Ramnit","Finance",19,7
2016-06-02,"Ramnit","Government/Politics",36,6
2016-06-02,"Ramnit","Healthcare/Wellness",5,5
2016-06-02,"Ramnit","Manufacturing",10,6
2016-06-02,"Ramnit","Retail",187,5
2016-06-02,"Sality","Education",102,38
2016-06-02,"Sality","Finance",110,23
2016-06-02,"Sality","Government/Politics",118,11
2016-06-02,"Sality","Healthcare/Wellness",6,5
2016-06-02,"Sality","Manufacturing",332,22
2016-06-02,"Sality","Retail",154,11
2016-06-02,"zeroaccess","Education",28,13
2016-06-02,"zeroaccess","Finance",12,5
2016-06-02,"zeroaccess","Government/Politics",12,5
2016-06-02,"zeroaccess","Healthcare/Wellness",6,4
2016-06-02,"zeroaccess","Manufacturing",25,6
2016-06-02,"zeroaccess","Retail",233,6
2016-06-02,"Zeus","Education",69,31
2016-06-02,"Zeus","Finance",14,13
2016-06-02,"Zeus","Government/Politics",17,7
2016-06-02,"Zeus","Healthcare/Wellness",7,6
2016-06-02,"Zeus","Manufacturing",42,14
2016-06-02,"Zeus","Retail",74,4
2016-06-02,"Zusy","Education",31,10
2016-06-02,"Zusy","Finance",21,2
2016-06-02,"Zusy","Government/Politics",4,2
2016-06-02,"Zusy","Healthcare/Wellness",3,1
2016-06-02,"Zusy","Manufacturing",42,8
2016-06-02,"Zusy","Retail",390,4
2016-06-03,"Bedep","Education",42,21
2016-06-03,"Bedep","Finance",388,20
2016-06-03,"Bedep","Government/Politics",338,35
2016-06-03,"Bedep","Healthcare/Wellness",83,15
2016-06-03,"Bedep","Manufacturing",90,13
2016-06-03,"Bedep","Retail",629,11
2016-06-03,"ConfickerAB","Education",593,94
2016-06-03,"ConfickerAB","Finance",275,53
2016-06-03,"ConfickerAB","Government/Politics",367,36
2016-06-03,"ConfickerAB","Healthcare/Wellness",349,111
2016-06-03,"ConfickerAB","Manufacturing",1511,80
2016-06-03,"ConfickerAB","Retail",1012,48
2016-06-03,"Necurs","Education",291,100
2016-06-03,"Necurs","Finance",70,48
2016-06-03,"Necurs","Government/Politics",337,22
2016-06-03,"Necurs","Healthcare/Wellness",23,22
2016-06-03,"Necurs","Manufacturing",574,36
2016-06-03,"Necurs","Retail",198,17
2016-06-03,"Olmasco","Education",10,3
2016-06-03,"Olmasco","Government/Politics",2,1
2016-06-03,"Olmasco","Healthcare/Wellness",1,1
2016-06-03,"Olmasco","Manufacturing",2,1
2016-06-03,"Olmasco","Retail",16,2
2016-06-03,"PushDo","Education",1,1
2016-06-03,"PushDo","Finance",19,1
2016-06-03,"PushDo","Government/Politics",5,2
2016-06-03,"PushDo","Manufacturing",576,10
2016-06-03,"PushDo","Retail",316,2
2016-06-03,"Ramnit","Education",32,14
2016-06-03,"Ramnit","Finance",20,10
2016-06-03,"Ramnit","Government/Politics",43,6
2016-06-03,"Ramnit","Healthcare/Wellness",4,3
2016-06-03,"Ramnit","Manufacturing",12,7
2016-06-03,"Ramnit","Retail",174,7
2016-06-03,"Sality","Education",112,43
2016-06-03,"Sality","Finance",137,24
2016-06-03,"Sality","Government/Politics",101,8
2016-06-03,"Sality","Healthcare/Wellness",6,5
2016-06-03,"Sality","Manufacturing",290,23
2016-06-03,"Sality","Retail",148,10
2016-06-03,"zeroaccess","Education",21,12
2016-06-03,"zeroaccess","Finance",9,4
2016-06-03,"zeroaccess","Government/Politics",15,5
2016-06-03,"zeroaccess","Healthcare/Wellness",11,6
2016-06-03,"zeroaccess","Manufacturing",18,6
2016-06-03,"zeroaccess","Retail",243,5
2016-06-03,"Zeus","Education",55,28
2016-06-03,"Zeus","Finance",15,12
2016-06-03,"Zeus","Government/Politics",10,6
2016-06-03,"Zeus","Healthcare/Wellness",7,6
2016-06-03,"Zeus","Manufacturing",45,12
2016-06-03,"Zeus","Retail",44,4
2016-06-03,"Zusy","Education",38,14
2016-06-03,"Zusy","Finance",29,6
2016-06-03,"Zusy","Government/Politics",2,2
2016-06-03,"Zusy","Healthcare/Wellness",5,2
2016-06-03,"Zusy","Manufacturing",45,5
2016-06-03,"Zusy","Retail",527,5
2016-06-04,"Bedep","Education",24,16
2016-06-04,"Bedep","Finance",360,15
2016-06-04,"Bedep","Government/Politics",259,18
2016-06-04,"Bedep","Healthcare/Wellness",80,11
2016-06-04,"Bedep","Manufacturing",60,10
